epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,23.3442,1.05931,1.35287,1.14196,0.02669,1,0.91018,0.27,0.74369,3.64653,1.28157,0.000117904,0.000117904,0.000117904
44,23.6462,0.70732,1.29814,0.92722,0.02669,1,0.91018,0.27,0.74369,3.64653,1.28157,0.000106518,0.000106518,0.000106518
45,23.9539,0.60126,1.12734,0.85689,0.02671,1,0.91018,0.27001,0.73867,3.64426,1.28485,9.44722e-05,9.44722e-05,9.44722e-05
46,24.2359,0.82663,1.2367,0.97717,0.02671,1,0.91018,0.27001,0.73867,3.64426,1.28485,8.17663e-05,8.17663e-05,8.17663e-05
47,24.5344,0.71596,1.31438,0.91761,0.02676,1,0.91018,0.29168,0.73593,3.63477,1.28952,6.84003e-05,6.84003e-05,6.84003e-05
48,24.918,1.09466,1.55945,1.05135,0.02676,1,0.91018,0.29168,0.73593,3.63477,1.28952,5.43742e-05,5.43742e-05,5.43742e-05
49,25.2143,0.80239,1.35934,0.93227,0.02681,1,0.94143,0.31247,0.73423,3.62715,1.29055,3.96879e-05,3.96879e-05,3.96879e-05
50,25.4973,0.71051,1.27817,0.87295,0.02681,1,0.94143,0.31247,0.73423,3.62715,1.29055,2.43415e-05,2.43415e-05,2.43415e-05
1,0.702767,2.74768,3.67466,2.42447,0.02236,0.75,0.03825,0.03825,0.06915,3.2507,0.67035,0,0,0
2,0.954724,2.5524,3.50399,2.06251,0.02222,0.75,0.03821,0.03821,0.07268,3.25039,0.67092,1.63399e-05,1.63399e-05,1.63399e-05
3,1.2126,2.94016,3.55666,2.56378,0.02209,0.75,0.0373,0.0373,0.0779,3.24835,0.67117,3.20197e-05,3.20197e-05,3.20197e-05
4,1.43459,2.4029,3.42377,1.96449,0.02196,0.75,0.03794,0.03794,0.0823,3.24779,0.67151,4.70394e-05,4.70394e-05,4.70394e-05
5,1.69196,2.39528,3.41307,2.09204,0.02116,0.75,0.03256,0.03256,0.12675,3.24433,0.67445,6.13989e-05,6.13989e-05,6.13989e-05
6,1.99586,2.38919,3.2754,2.09599,0.03195,1,0.04575,0.04457,0.29805,3.24253,0.68911,7.50984e-05,7.50984e-05,7.50984e-05
7,2.43472,2.45924,3.19926,2.15089,0.03081,1,0.04589,0.03471,0.5231,3.24261,0.716,8.81376e-05,8.81376e-05,8.81376e-05
8,2.73201,2.16491,3.2382,1.78955,0.03,1,0.04884,0.036,0.52016,3.24181,0.71584,0.000100517,0.000100517,0.000100517
9,3.04218,2.13358,3.52148,1.58791,0.02985,1,0.08013,0.05455,0.79347,3.23193,0.7729,0.000112236,0.000112236,0.000112236
10,3.35348,1.54351,3.07995,1.19523,0.02918,1,0.30806,0.18037,0.87362,3.38006,0.91445,0.000123295,0.000123295,0.000123295
11,3.67337,2.01973,3.11363,1.51752,0.02882,1,0.37755,0.16914,0.80368,3.60834,1.06847,0.000133693,0.000133693,0.000133693
12,3.97517,1.41505,2.7799,1.25011,0.0282,1,0.42687,0.14833,0.78844,3.73621,1.2015,0.000143432,0.000143432,0.000143432
13,4.28602,1.43645,2.43591,1.18369,0.02749,1,0.54701,0.1195,0.83703,3.79285,1.29254,0.00015251,0.00015251,0.00015251
14,4.58753,1.26061,2.59222,1.14374,0.02749,1,0.71861,0.0936,0.96654,3.78885,1.38909,0.000160929,0.000160929,0.000160929
15,4.91196,1.3548,2.26061,1.13597,0.02756,1,0.69361,0.08727,1.12125,3.76674,1.46965,0.000168687,0.000168687,0.000168687
16,5.2291,1.55409,2.55419,1.11962,0.02337,0.875,0.29885,0.03463,1.39208,3.67147,1.55905,0.000175785,0.000175785,0.000175785
17,5.55276,1.07626,1.79443,1.06688,0.01946,0.75,0.25467,0.03101,1.58631,3.5721,1.61166,0.000182223,0.000182223,0.000182223
18,5.85696,1.20048,1.79379,1.08157,0.01946,0.75,0.25467,0.03101,1.58631,3.5721,1.61166,0.000188001,0.000188001,0.000188001
19,6.17208,1.19034,2.06036,1.12042,0.02701,1,0.47725,0.06285,1.72491,3.49142,1.63429,0.000193119,0.000193119,0.000193119
20,6.48907,1.2194,2.03743,1.0689,0.02701,1,0.47725,0.06285,1.72491,3.49142,1.63429,0.000197576,0.000197576,0.000197576
21,6.809,1.16889,1.63485,1.10373,0.02697,1,0.49418,0.05401,1.73885,3.48614,1.68613,0.000201374,0.000201374,0.000201374
22,7.10937,1.31967,1.85952,1.11279,0.02697,1,0.49418,0.05401,1.73885,3.48614,1.68613,0.000204511,0.000204511,0.000204511
23,7.41496,1.20548,2.12081,1.06313,0.02701,1,0.74625,0.11646,1.8011,3.4022,1.66178,0.000206988,0.000206988,0.000206988
24,7.71215,1.38579,1.87165,1.06409,0.02701,1,0.74625,0.11646,1.8011,3.4022,1.66178,0.000208805,0.000208805,0.000208805
25,8.02696,1.20117,1.85571,1.11544,0.02681,1,0.74625,0.12017,1.89037,3.29107,1.6459,0.000209962,0.000209962,0.000209962
26,8.32305,1.06252,1.90457,1.01159,0.02681,1,0.74625,0.12017,1.89037,3.29107,1.6459,0.000210459,0.000210459,0.000210459
27,8.64939,1.10019,1.65255,1.06052,0.02694,1,0.74625,0.12029,1.7443,3.40416,1.67022,0.000210295,0.000210295,0.000210295
28,9.10892,1.24466,1.47621,1.18089,0.02694,1,0.74625,0.12029,1.7443,3.40416,1.67022,0.000209472,0.000209472,0.000209472
29,9.43788,1.09527,1.7586,0.99657,0.02697,1,0.74625,0.08382,1.51215,3.63634,1.66501,0.000207988,0.000207988,0.000207988
30,9.74891,1.11621,1.62228,1.04844,0.02697,1,0.74625,0.08382,1.51215,3.63634,1.66501,0.000205844,0.000205844,0.000205844
31,10.0727,1.15601,1.59084,1.08206,0.0269,1,0.53362,0.05491,1.31014,3.7955,1.66006,0.000203041,0.000203041,0.000203041
32,10.3632,0.87775,1.65487,1.00338,0.0269,1,0.53362,0.05491,1.31014,3.7955,1.66006,0.000199577,0.000199577,0.000199577
33,10.6772,1.12001,1.605,1.121,0.02015,0.75,0.18145,0.01917,1.33974,3.84582,1.7054,0.000195452,0.000195452,0.000195452
34,10.9678,1.14881,1.48496,1.0518,0.02015,0.75,0.18145,0.01917,1.33974,3.84582,1.7054,0.000190668,0.000190668,0.000190668
35,11.2858,1.52977,1.70259,1.14142,0.02672,1,0.29149,0.0302,1.29917,3.84345,1.683,0.000185224,0.000185224,0.000185224
36,11.5793,1.28502,1.41233,1.1619,0.02672,1,0.29149,0.0302,1.29917,3.84345,1.683,0.000179119,0.000179119,0.000179119
37,11.8718,1.2874,1.8099,1.08993,0.02344,0.875,0.37823,0.04406,1.29982,3.77567,1.61196,0.000172354,0.000172354,0.000172354
38,12.1556,1.07534,1.66746,1.108,0.02344,0.875,0.37823,0.04406,1.29982,3.77567,1.61196,0.00016493,0.00016493,0.00016493
39,12.4594,1.16485,1.7373,1.08946,0.02679,1,0.74625,0.11729,1.58315,3.50893,1.64177,0.000156845,0.000156845,0.000156845
40,12.7351,1.14892,1.42757,1.05161,0.02679,1,0.74625,0.11729,1.58315,3.50893,1.64177,0.0001481,0.0001481,0.0001481
41,16.9493,1.09503,1.6927,1.10346,0.02687,1,0.8075,0.13364,1.67257,3.3455,1.60688,0.000138694,0.000138694,0.000138694
42,17.3222,1.04082,1.52064,1.01198,0.02687,1,0.8075,0.13364,1.67257,3.3455,1.60688,0.000128629,0.000128629,0.000128629
43,17.6921,1.10151,1.53937,1.04457,0.02697,1,0.8075,0.13387,1.71094,3.28463,1.62905,0.000117904,0.000117904,0.000117904
44,18.0018,1.09506,1.68968,0.97615,0.02697,1,0.8075,0.13387,1.71094,3.28463,1.62905,0.000106518,0.000106518,0.000106518
45,18.3228,1.07256,1.49561,1.00723,0.02697,1,0.74625,0.11991,1.73199,3.2841,1.63458,9.44722e-05,9.44722e-05,9.44722e-05
46,18.6169,1.06883,1.45326,1.09436,0.02697,1,0.74625,0.11991,1.73199,3.2841,1.63458,8.17663e-05,8.17663e-05,8.17663e-05
47,18.9136,1.00376,1.37353,0.96399,0.02694,1,0.74625,0.11987,1.71395,3.29088,1.63261,6.84003e-05,6.84003e-05,6.84003e-05
48,19.2927,0.90348,1.47699,1.01202,0.02694,1,0.74625,0.11987,1.71395,3.29088,1.63261,5.43742e-05,5.43742e-05,5.43742e-05
49,19.6068,1.17407,1.58041,1.07124,0.02694,1,0.8075,0.14561,1.76975,3.21739,1.60289,3.96879e-05,3.96879e-05,3.96879e-05
50,19.895,0.80916,1.37093,0.91758,0.02694,1,0.8075,0.14561,1.76975,3.21739,1.60289,2.43415e-05,2.43415e-05,2.43415e-05
1,0.691909,2.7351,3.57807,2.39873,0.02574,0.8125,0.03207,0.01699,0.78235,3.26148,1.15608,0,0,0
2,0.92452,2.58146,3.66453,2.23854,0.02574,0.8125,0.03382,0.01711,0.7867,3.26223,1.15522,1.63399e-05,1.63399e-05,1.63399e-05
3,1.15436,2.77028,3.69258,2.29449,0.02565,0.8125,0.03541,0.0172,0.80303,3.25964,1.16196,3.20197e-05,3.20197e-05,3.20197e-05
4,1.3792,2.64529,3.61897,2.15287,0.02529,0.8125,0.03366,0.01822,0.78742,3.25714,1.13947,4.70394e-05,4.70394e-05,4.70394e-05
5,1.61196,2.21755,3.48072,2.05222,0.02442,0.8125,0.06266,0.0211,0.79074,3.25428,1.13333,6.13989e-05,6.13989e-05,6.13989e-05
6,1.90058,2.48103,3.41169,2.28843,0.02407,0.8125,0.06219,0.0209,0.79526,3.25222,1.138,7.50984e-05,7.50984e-05,7.50984e-05
7,2.30318,2.46125,3.33901,2.25034,0.0288,0.9375,0.06796,0.0231,0.8505,3.2454,1.14226,8.81376e-05,8.81376e-05,8.81376e-05
8,2.60015,2.36525,3.56765,2.12658,0.03064,1,0.13058,0.0425,0.87795,3.22344,1.09772,0.000100517,0.000100517,0.000100517
9,2.90214,2.52788,3.53702,2.08224,0.02924,1,0.0582,0.02508,0.98512,3.22504,1.08919,0.000112236,0.000112236,0.000112236
10,3.18876,2.28056,3.4391,2.01156,0.0295,1,0.04142,0.02574,1.05787,3.22893,1.06541,0.000123295,0.000123295,0.000123295
11,3.4772,2.24042,3.2783,1.93809,0.02978,1,0.04201,0.02343,1.20178,3.23279,1.11531,0.000133693,0.000133693,0.000133693
12,3.76551,2.01738,3.15316,1.86008,0.0295,1,0.04191,0.02325,1.25982,3.27748,1.17012,0.000143432,0.000143432,0.000143432
13,4.06324,1.83485,3.04405,1.74078,0.02918,1,0.04021,0.0222,1.26035,3.33993,1.21003,0.00015251,0.00015251,0.00015251
14,4.34959,2.01334,3.04745,1.86814,0.0286,1,0.03923,0.02235,1.20347,3.41668,1.27759,0.000160929,0.000160929,0.000160929
15,4.64303,1.806,2.86241,1.74972,0.02876,1,0.03982,0.02204,1.17101,3.41859,1.28575,0.000168687,0.000168687,0.000168687
16,4.95466,1.96917,3.11332,1.87577,0.02811,1,0.03921,0.02071,1.07059,3.41839,1.24043,0.000175785,0.000175785,0.000175785
17,5.2592,1.65718,2.35565,1.5398,0.02811,1,0.04089,0.02049,1.06134,3.3604,1.22717,0.000182223,0.000182223,0.000182223
18,5.5415,1.61083,2.42346,1.49712,0.02811,1,0.04089,0.02049,1.06134,3.3604,1.22717,0.000188001,0.000188001,0.000188001
19,5.84069,1.80238,2.61204,1.77647,0.02756,1,0.05708,0.03327,1.07306,3.31098,1.19854,0.000193119,0.000193119,0.000193119
20,6.13222,1.59584,2.64236,1.47721,0.02756,1,0.05708,0.03327,1.07306,3.31098,1.19854,0.000197576,0.000197576,0.000197576
21,6.45035,1.65678,2.2651,1.52062,0.02749,1,0.06353,0.03645,1.13393,3.25935,1.22399,0.000201374,0.000201374,0.000201374
22,6.73833,1.80868,2.3318,1.58192,0.02749,1,0.06353,0.03645,1.13393,3.25935,1.22399,0.000204511,0.000204511,0.000204511
23,7.0402,1.70325,2.8502,1.76989,0.02734,1,0.06853,0.04242,1.18814,3.22416,1.24801,0.000206988,0.000206988,0.000206988
24,7.32414,1.72345,2.35513,1.53464,0.02734,1,0.06853,0.04242,1.18814,3.22416,1.24801,0.000208805,0.000208805,0.000208805
25,7.62574,1.7382,2.49017,1.81044,0.02703,1,0.08257,0.04931,1.23499,3.1999,1.26806,0.000209962,0.000209962,0.000209962
26,7.91921,1.5563,2.36785,1.4479,0.02703,1,0.08257,0.04931,1.23499,3.1999,1.26806,0.000210459,0.000210459,0.000210459
27,8.34413,1.68091,2.15616,1.44961,0.02694,1,0.08465,0.04362,1.24467,3.17067,1.28736,0.000210295,0.000210295,0.000210295
28,8.63609,1.59589,1.9184,1.42427,0.02694,1,0.08465,0.04362,1.24467,3.17067,1.28736,0.000209472,0.000209472,0.000209472
29,8.94411,1.64964,2.38434,1.51696,0.02697,1,0.05098,0.02508,1.165,3.20112,1.28691,0.000207988,0.000207988,0.000207988
30,9.22577,1.64729,2.15821,1.47362,0.02697,1,0.05098,0.02508,1.165,3.20112,1.28691,0.000205844,0.000205844,0.000205844
31,9.54346,1.47631,1.98756,1.44656,0.0271,1,0.05077,0.02264,1.07104,3.22257,1.28527,0.000203041,0.000203041,0.000203041
32,9.8284,1.47513,2.11252,1.52097,0.0271,1,0.05077,0.02264,1.07104,3.22257,1.28527,0.000199577,0.000199577,0.000199577
33,10.1261,1.75797,1.9989,1.58192,0.02706,1,0.05408,0.02826,1.01072,3.25536,1.28348,0.000195452,0.000195452,0.000195452
34,10.423,1.51764,2.08728,1.49985,0.02706,1,0.05408,0.02826,1.01072,3.25536,1.28348,0.000190668,0.000190668,0.000190668
35,10.7212,1.77193,2.54799,1.56277,0.02697,1,0.05174,0.02736,0.96712,3.26614,1.27781,0.000185224,0.000185224,0.000185224
36,10.9984,1.59462,2.11312,1.50869,0.02697,1,0.05174,0.02736,0.96712,3.26614,1.27781,0.000179119,0.000179119,0.000179119
